week,home,home_pts,away,away_pts
1,Denver Broncos,21,Carolina Panthers,20
1,Jacksonville Jaguars,23,Green Bay Packers,27
1,Baltimore Ravens,13,Buffalo Bills,7
1,New York Jets,22,Cincinnati Bengals,23
1,Philadelphia Eagles,29,Cleveland Browns,10
1,Tennessee Titans,16,Minnesota Vikings,25
1,Kansas City Chiefs,33,San Diego Chargers,27
1,Atlanta Falcons,24,Tampa Bay Buccaneers,31
1,New Orleans Saints,34,Oakland Raiders,35
1,Houston Texans,23,Chicago Bears,14
1,Seattle Seahawks,12,Miami Dolphins,10
1,Indianapolis Colts,35,Detroit Lions,39
1,Dallas Cowboys,19,New York Giants,20
1,Arizona Cardinals,21,New England Patriots,23
1,Washington Redskins,16,Pittsburgh Steelers,38
1,San Francisco 49ers,28,Los Angeles Rams,0
2,Buffalo Bills,31,New York Jets,37
2,New England Patriots,31,Miami Dolphins,24
2,Detroit Lions,15,Tennessee Titans,16
2,Cleveland Browns,20,Baltimore Ravens,25
2,Houston Texans,19,Kansas City Chiefs,12
2,Pittsburgh Steelers,24,Cincinnati Bengals,16
2,Carolina Panthers,46,San Francisco 49ers,27
2,Washington Redskins,23,Dallas Cowboys,27
2,New York Giants,16,New Orleans Saints,13
2,Arizona Cardinals,40,Tampa Bay Buccaneers,7
2,Los Angeles Rams,9,Seattle Seahawks,3
2,Oakland Raiders,28,Atlanta Falcons,35
2,San Diego Chargers,38,Jacksonville Jaguars,14
2,Denver Broncos,34,Indianapolis Colts,20
2,Minnesota Vikings,17,Green Bay Packers,14
2,Chicago Bears,14,Philadelphia Eagles,29
