week,home,home_pts,away,away_pts
1,Denver Broncos,21,Carolina Panthers,20
1,Detroit Lions,39,Indianapolis Colts,35
1,Green Bay Packers,27,Jacksonville Jaguars,23
1,Cincinnati Bengals,23,New York Jets,22
1,Houston Texans,23,Chicago Bears,14
1,Minnesota Vikings,25,Tennessee Titans,16
1,Seattle Seahawks,12,Miami Dolphins,10
1,Philadelphia Eagles,29,Cleveland Browns,10
1,New England Patriots,23,Arizona Cardinals,21
1,Baltimore Ravens,13,Buffalo Bills,7
1,New York Giants,20,Dallas Cowboys,19
1,Kansas City Chiefs,33,San Diego Chargers,27
1,Tampa Bay Buccaneers,31,Atlanta Falcons,24
1,Oakland Raiders,35,New Orleans Saints,34
1,San Francisco 49ers,28,Los Angeles Rams,0
1,Pittsburgh Steelers,38,Washington Redskins,16
